,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag
166,MKD,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/north-macedonia.99cda7ab3b93b368a52d.svg
167,OMA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/oman.244ea747799c08787e53.svg
168,PAL,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/palau.4bf8493df5e054930694.svg
169,PLE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/palestine.5fded76a6b1b8f5c6ec7.svg
170,PNG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/papua-new-guinea.78961baf3ce10870f43b.svg
171,PAR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/paraguay.b5444c7fd8817a57d411.svg
172,RWA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/rwanda.63923e4b3d4ae699634a.svg
173,SAM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/samoa.c6ca692c13d5ef980df1.svg
174,SMR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/san-marino.bb607730b57b10e85e8d.svg
175,STP,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/sao-tome-and-principe.f9a2f57acb9d4e2b2ad1.svg
176,KSA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/saudi-arabia.508c8485e21a2d69ccdf.svg
177,SEN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/senegal.b6c16966c76595398f14.svg
178,SEY,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/seychelles.2d5633831ac95f433236.svg
179,SLE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/sierra-leone.da5e621142ce661dce4e.svg
180,SOL,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/solomon-islands.dbe6338e14868ad40f4f.svg
181,SOM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/somalia.02e49960a536fb1c5b71.svg
182,SSD,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/south-sudan.8e0166e1d4925468844b.svg
183,SRI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/sri-lanka.d0d010e5a7d4d554a209.svg
184,SKN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/st-kitts-and-nevis.9058766f9d3bd27f4014.svg
