,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
915,I.Litvinovich,1, Men ,Trampoline,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BY.svg
916,Z.Wang,2, Men ,Trampoline,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
917,L.Yan,3, Men ,Trampoline,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
918,B.Page,1, Women ,Trampoline,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
919,V.Bardzilouskay,2, Women ,Trampoline,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BY.svg
920,M.Sophiane,3, Women ,Trampoline,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
921,A.Yee,1, Men ,Triathlon,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
922,H.Wilde,2, Men ,Triathlon,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NZ.svg
923,L.Bergere,3, Men ,Triathlon,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
924,Germany,1, Mixed ,Triathlon,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
925,USA,2, Mixed ,Triathlon,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
926,Great Britain,3, Mixed ,Triathlon,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
927,C.Beaugrand,1, Women ,Triathlon,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
928,J.Derron,2, Women ,Triathlon,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CH.svg
929,B.Potter,3, Women ,Triathlon,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
930,France,1, Men ,Volleyball,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
